,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29
17,svchost.exe,1400,406,25156250,33666,1436296,884,7020,2203438571520,16492,8,6770688,1400,18,265,24,275,0,14218750,2203425402880,16769,6612,1,6,9,16785408,1876,20812588,1,1
18,svchost.exe,1432,253,625000,204,6492,884,3064,2203408809984,11000,8,2600960,1432,13,99,17,101,0,312500,2203401469952,3021,2540,0,0,4,11120640,0,0,1,1
19,svchost.exe,1440,247,1562500,2551,118264,884,3836,2203438342144,14064,8,3321856,1440,14,154,15,161,0,156250,2203431526400,4575,3244,2,8192,2,14290944,0,0,1,1
20,svchost.exe,1460,255,625000,84,1266,884,2452,2203405778944,12464,8,1994752,1460,10,112,11,112,0,1562500,2203401584640,7284,1948,0,0,1,12595200,0,0,1,1
21,IntelCpHDCPSvc.exe,1588,149,156250,37,634,884,1684,2203403382784,7952,8,1429504,1588,9,85,11,86,0,0,2203395997696,2127,1396,36,724,3,8003584,0,0,1,1
22,svchost.exe,1612,329,10000000,555,9712,884,4188,2203448905728,21972,8,3837952,1612,14,141,16,168,0,11718750,2203429130240,11864,3748,2,150,7,20803584,0,0,1,1
23,svchost.exe,1632,169,781250,25,398,884,1656,2203397996544,6512,8,1634304,1632,8,59,8,59,0,1718750,2203394850816,2259,1596,0,0,2,6647808,0,0,1,1
24,svchost.exe,1672,142,0,96,2782,884,1864,2203399548928,6716,8,1691648,1672,12,73,14,73,0,312500,2203396927488,2313,1652,2,0,6,6840320,0,0,1,1
25,svchost.exe,1720,421,4687500,8052,94846,884,19104,2203437121536,22776,8,14913536,1720,14,84,15,100,0,3750000,2203428646912,46648,14564,1133,46323072,7,19357696,2409,73060896,1,1
26,IntelCpHeciSvc.exe,1872,133,156250,43,711,884,1588,2203397255168,7404,8,1396736,1872,8,70,10,71,0,0,2203389915136,2000,1364,40,840,3,7491584,4,124,1,1
27,svchost.exe,2016,141,1875000,7977,292582,884,5312,2203392987136,9620,8,5324800,2016,24,57,30,57,0,1718750,2203391414272,5159,5200,0,0,4,9773056,0,0,1,1
28,svchost.exe,1976,217,3593750,3254,201294,884,2932,2203398582272,8164,8,2351104,1976,10,78,18,79,0,4062500,2203392290816,7804,2296,0,0,6,8192000,0,0,1,1
29,svchost.exe,2104,123,312500,46,142,884,1796,2203393732608,7648,8,1454080,2104,9,64,10,64,0,0,2203387965440,2561,1420,0,0,1,7696384,0,0,1,1
30,svchost.exe,2276,400,4843750,84772,7701717,884,7976,2203433181184,13016,8,4743168,2276,16,104,21,109,0,3437500,2203421396992,10019,4632,81,9396,6,13127680,81,12960,1,1
31,svchost.exe,2336,187,22812500,1795,11466,884,21392,2203428126720,30128,8,8908800,2336,11,88,13,88,0,98125000,2203418058752,51900,8700,10008,40669092,2,18100224,99,230424,1,1
