,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
10,fontdrvhost.exe,940,32,2656250,129,3224,764,3924,2.20352E+12,10820,8,3989504,940,8,282,9,282,1,6093750,2.20352E+12,3154,3896,1,66082,5,10698752,0,0,1,1,0
11,fontdrvhost.exe,948,32,156250,30,742,724,1564,2.2034E+12,3756,8,1544192,948,6,61,6,62,0,156250,2.2034E+12,1125,1508,1,66082,5,2961408,0,0,1,1,0
12,svchost.exe,956,1428,28125000,12710,297420,828,11356,2.20347E+12,28864,8,11149312,956,23,491,26,502,0,15468750,2.20346E+12,11913,10888,28,114688,20,28966912,1,65536,1,1,0
13,svchost.exe,556,1251,40312500,5087,440332,828,8700,2.20344E+12,17404,8,8290304,556,21,180,25,188,0,56875000,2.20343E+12,10902,8096,31,126976,11,16850944,0,0,1,1,0
14,svchost.exe,900,258,2656250,69,386,828,2296,2.2034E+12,7744,8,2281472,900,11,115,11,116,0,1875000,2.2034E+12,2255,2228,0,0,6,7688192,0,0,1,1,0
15,dwm.exe,1012,1055,22656250,1051,40944,764,79884,2.20373E+12,117380,13,61362176,1012,48,587,63,689,1,31875000,2.20368E+12,172256,59924,2,71028,15,84467712,0,0,0,1,0
16,svchost.exe,1152,152,156250,21,238,828,1520,2.2034E+12,6148,8,1556480,1152,8,59,8,59,0,312500,2.2034E+12,1665,1520,0,0,3,5971968,0,0,1,1,0
17,svchost.exe,1160,223,312500,273,16056,828,2608,2.2034E+12,10396,8,2453504,1160,13,88,15,89,0,1093750,2.2034E+12,2947,2396,0,0,2,10317824,0,0,1,1,0
18,svchost.exe,1180,258,625000,66,658,828,2232,2.2034E+12,12188,8,2199552,1180,10,111,10,112,0,1562500,2.2034E+12,3245,2148,0,0,4,12148736,0,0,1,1,0
19,svchost.exe,1276,410,7500000,6006,142088,828,6388,2.20344E+12,15748,8,6246400,1276,19,250,22,260,0,4062500,2.20343E+12,7103,6100,1,6,12,15589376,191,4717484,1,1,0
20,svchost.exe,1328,404,12812500,6554,205846,828,18888,2.20343E+12,21100,8,18558976,1328,14,84,15,99,0,5781250,2.20343E+12,10537,18124,698,6499328,9,18649088,677,14858192,1,1,0
21,svchost.exe,1336,121,312500,37,142,828,1636,2.20339E+12,7528,8,1454080,1336,9,64,9,64,0,0,2.20339E+12,1999,1420,0,0,2,7098368,0,0,1,1,0
22,svchost.exe,1360,325,2812500,7213,210168,828,4292,2.20346E+12,19308,8,4100096,1360,18,182,19,194,0,937500,2.20345E+12,5361,4004,5,8736,3,18841600,0,0,1,1,0
23,svchost.exe,1448,137,1718750,1608,63414,828,4808,2.20339E+12,8944,8,4816896,1448,24,57,29,57,0,1562500,2.20339E+12,3185,4704,0,0,3,8781824,0,0,1,1,0
24,svchost.exe,1476,252,5156250,92,1376,828,2756,2.2034E+12,9868,8,2600960,1476,11,85,12,85,0,3593750,2.2034E+12,3241,2540,0,0,6,9805824,0,0,1,1,0
