Last Modified,Last Update,Path,File Size,Exec Flag
12/07/19 09:08:43,N/A,C:\WINDOWS\system32\osk.exe,N/A,N/A
10/13/21 12:38:01,N/A,C:\WINDOWS\system32\CredentialEnrollmentManager.exe,N/A,N/A
12/07/19 09:09:41,N/A,C:\WINDOWS\system32\odbcad32.exe,N/A,N/A
04/09/21 13:53:35,N/A,C:\WINDOWS\system32\narrator.exe,N/A,N/A
04/09/21 13:54:55,N/A,C:\WINDOWS\system32\mspaint.exe,N/A,N/A
04/09/21 13:54:55,N/A,C:\WINDOWS\system32\psr.exe,N/A,N/A
10/13/21 12:38:40,N/A,C:\WINDOWS\system32\msinfo32.exe,N/A,N/A
10/13/21 12:38:39,N/A,C:\WINDOWS\system32\msconfig.exe,N/A,N/A
12/07/19 09:09:54,N/A,C:\WINDOWS\system32\MdSched.exe,N/A,N/A
12/07/19 09:10:02,N/A,C:\WINDOWS\syswow64\odbcad32.exe,N/A,N/A
10/13/21 12:38:15,N/A,C:\WINDOWS\system32\magnify.exe,N/A,N/A
12/07/19 09:09:41,N/A,C:\WINDOWS\system32\iscsicpl.exe,N/A,N/A
04/09/21 13:54:16,N/A,C:\WINDOWS\system32\dfrgui.exe,N/A,N/A
10/13/21 12:38:35,N/A,C:\WINDOWS\system32\cleanmgr.exe,N/A,N/A
12/07/19 09:09:47,N/A,C:\WINDOWS\system32\charmap.exe,N/A,N/A
10/13/21 12:38:40,N/A,C:\WINDOWS\system32\mstsc.exe,N/A,N/A
10/13/21 12:39:01,N/A,C:\Program Files (x86)\Windows Media Player\wmplayer.exe,N/A,N/A
10/13/21 12:38:39,N/A,C:\WINDOWS\system32\RecoveryDrive.exe,N/A,N/A
12/06/19 17:05:00,N/A,C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe,N/A,N/A
